id,fen
0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1
2,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2
3,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 2
4,r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6 0 3
5,r1bqkbnr/ppp1pppp/2n5/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3
6,r1b1kbnr/ppp1pppp/2n5/3q4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4
7,r1b1kbnr/ppp1pppp/2n5/3q4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4
8,r3kbnr/ppp1pppp/2n5/3q4/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 5
9,r3kbnr/ppp1pppp/2n5/3q4/3P2b1/5N2/PPP1BPPP/RNBQK2R b KQkq - 3 5
10,2kr1bnr/ppp1pppp/2n5/3q4/3P2b1/5N2/PPP1BPPP/RNBQK2R w KQ - 4 6
11,2kr1bnr/ppp1pppp/2n5/3q4/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQ c3 0 6
12,2kr1bnr/ppp1pppp/2n5/7q/2PP2b1/5N2/PP2BPPP/RNBQK2R w KQ - 1 7
13,2kr1bnr/ppp1pppp/2n5/3P3q/2P3b1/5N2/PP2BPPP/RNBQK2R b KQ - 0 7
14,2kr1bnr/ppp1pppp/2n5/3P3q/2P5/5b2/PP2BPPP/RNBQK2R w KQ - 0 8
15,2kr1bnr/ppp1pppp/2n5/3P3q/2P5/5B2/PP3PPP/RNBQK2R b KQ - 0 8
16,2kr1bnr/ppp1pppp/2n5/3Pq3/2P5/5B2/PP3PPP/RNBQK2R w KQ - 1 9
17,2kr1bnr/ppp1pppp/2n5/3Pq3/2P5/4BB2/PP3PPP/RN1QK2R b KQ - 2 9
18,2kr1bnr/ppp1pppp/2n5/3P4/2P5/4BB2/Pq3PPP/RN1QK2R w KQ - 0 10
19,2kr1bnr/ppp1pppp/2n5/3P4/2P5/4BB2/Pq3PPP/RN1Q1RK1 b - - 1 10
20,2kr1bnr/ppp1pppp/2n5/3P4/2P5/4BB2/P4PPP/qN1Q1RK1 w - - 0 11
21,2kr1bnr/ppp1pppp/2P5/8/2P5/4BB2/P4PPP/qN1Q1RK1 b - - 0 11
22,2k2bnr/ppp1pppp/2P5/8/2P5/4BB2/P4PPP/qN1r1RK1 w - - 0 12
23,2k2bnr/pPp1pppp/8/8/2P5/4BB2/P4PPP/qN1r1RK1 b - - 0 12
24,1k3bnr/pPp1pppp/8/8/2P5/4BB2/P4PPP/qN1r1RK1 w - - 1 13
25,1k3bnr/pPp1pppp/8/8/2P5/4BB2/P4PPP/qN1R2K1 b - - 0 13
26,1k3bnr/pP2pppp/2p5/8/2P5/4BB2/P4PPP/qN1R2K1 w - - 0 14
27,1k3bnr/pP2pppp/2B5/8/2P5/4B3/P4PPP/qN1R2K1 b - - 0 14
28,5bnr/pPk1pppp/2B5/8/2P5/4B3/P4PPP/qN1R2K1 w - - 1 15
29,5bnr/pPkRpppp/2B5/8/2P5/4B3/P4PPP/qN4K1 b - - 2 15
30,5bnr/pP1Rpppp/2k5/8/2P5/4B3/P4PPP/qN4K1 w - - 0 16
31,1N3bnr/p2Rpppp/2k5/8/2P5/4B3/P4PPP/qN4K1 b - - 0 16
