id,fen
0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1
2,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2
3,rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2
4,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3
5,rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq d3 0 3
6,rnbqk2r/pppp1ppp/5n2/4p3/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 4
7,rnbqk2r/pppp1ppp/5n2/4p3/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 2 4
8,rnbqk2r/ppp2ppp/3p1n2/4p3/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
9,rnbqk2r/ppp2ppp/3p1n2/4p3/1b1PP3/2N2N2/PPPB1PPP/R2QKB1R b KQkq - 1 5
10,r1bqk2r/ppp2ppp/2np1n2/4p3/1b1PP3/2N2N2/PPPB1PPP/R2QKB1R w KQkq - 2 6
11,r1bqk2r/ppp2ppp/2np1n2/3Pp3/1b2P3/2N2N2/PPPB1PPP/R2QKB1R b KQkq - 0 6
12,r1bqk2r/ppp2ppp/3p1n2/3Pp3/1b1nP3/2N2N2/PPPB1PPP/R2QKB1R w KQkq - 1 7
13,r1bqk2r/ppp2ppp/3p1n2/3Pp3/1b1nP2P/2N2N2/PPPB1PP1/R2QKB1R b KQkq h3 0 7
14,r2qk2r/ppp2ppp/3p1n2/3Pp3/1b1nP1bP/2N2N2/PPPB1PP1/R2QKB1R w KQkq - 1 8
15,r2qk2r/ppp2ppp/3p1n2/3Pp3/Pb1nP1bP/2N2N2/1PPB1PP1/R2QKB1R b KQkq a3 0 8
16,r2qk2r/ppp2ppp/3p1n2/3Pp3/Pb2P1bP/2N2n2/1PPB1PP1/R2QKB1R w KQkq - 0 9
17,r2qk2r/ppp2ppp/3p1n2/3Pp3/Pb2P1bP/2N2P2/1PPB1P2/R2QKB1R b KQkq - 0 9
18,r2qk2r/ppp2ppp/3p1n2/3Pp2b/Pb2P2P/2N2P2/1PPB1P2/R2QKB1R w KQkq - 1 10
19,r2qk2r/ppp2ppp/3p1n2/1B1Pp2b/Pb2P2P/2N2P2/1PPB1P2/R2QK2R b KQkq - 2 10
20,r2qk2r/pp3ppp/2pp1n2/1B1Pp2b/Pb2P2P/2N2P2/1PPB1P2/R2QK2R w KQkq - 0 11
21,r2qk2r/pp3ppp/2Pp1n2/1B2p2b/Pb2P2P/2N2P2/1PPB1P2/R2QK2R b KQkq - 0 11
22,r2q1rk1/pp3ppp/2Pp1n2/1B2p2b/Pb2P2P/2N2P2/1PPB1P2/R2QK2R w KQ - 1 12
23,r2q1rk1/pP3ppp/3p1n2/1B2p2b/Pb2P2P/2N2P2/1PPB1P2/R2QK2R b KQ - 0 12
24,1r1q1rk1/pP3ppp/3p1n2/1B2p2b/Pb2P2P/2N2P2/1PPB1P2/R2QK2R w KQ - 1 13
25,1r1q1rk1/pP3ppp/B2p1n2/4p2b/Pb2P2P/2N2P2/1PPB1P2/R2QK2R b KQ - 2 13
26,1r3rk1/pP3ppp/B2p1n2/q3p2b/Pb2P2P/2N2P2/1PPB1P2/R2QK2R w KQ - 3 14
27,1r3rk1/pP3ppp/B2p1n2/q3p2b/Pb2P2P/2N2P2/1PPBQP2/R3K2R b KQ - 4 14
28,1r3rk1/pP1n1ppp/B2p4/q3p2b/Pb2P2P/2N2P2/1PPBQP2/R3K2R w KQ - 5 15
29,1r3rk1/pP1n1ppp/B2p4/q3p2b/Pb2P2P/2N2P2/1PPBQP2/R3K1R1 b Q - 6 15
30,1r3rk1/pP3ppp/B2p4/q1n1p2b/Pb2P2P/2N2P2/1PPBQP2/R3K1R1 w Q - 7 16
31,1r3rk1/pP3ppp/B2p4/q1n1p1Rb/Pb2P2P/2N2P2/1PPBQP2/R3K3 b Q - 8 16
32,1r3rk1/pP3ppp/B2p2b1/q1n1p1R1/Pb2P2P/2N2P2/1PPBQP2/R3K3 w Q - 9 17
33,1r3rk1/pP3ppp/3p2b1/qBn1p1R1/Pb2P2P/2N2P2/1PPBQP2/R3K3 b Q - 10 17
